Site,Raw.file,Crossdated.file,Species,Easting,Northing,Lat,Long,Elevation,Aspect,No.Trees,No.Cores,Crossdating.notes,Notes
Boulder County 18,-9999,BoMo18Df.rwl,PSME,-9999,-9999,40.163209,-105.45956,-9999,-9999,-9999,-9999,-9999,
Boulder County 19,-9999,BoMo19Df.rwl,PSME,-9999,-9999,40.1655633,-105.48139,-9999,-9999,-9999,-9999,-9999,
