"","B18","B19","LJ","SS","WR","JP","WW","SR","NI","SP","WB","TI"
"B18",0.04,0.2,0.0714285714285714,0.2,0.24,0.12,0.16,0.285714285714286,0.3,0.222222222222222,0.228571428571429,1
"B19",0.0740740740740741,0.37037037037037,0.285714285714286,0.185185185185185,0.296296296296296,0.111111111111111,0.333333333333333,0.357142857142857,0.333333333333333,1,0.171428571428571,0.222222222222222
"LJ",0.1,0.2,0.166666666666667,0.333333333333333,0.2,0.133333333333333,0.233333333333333,0.233333333333333,1,0.333333333333333,0.228571428571429,0.3
"SS",0.107142857142857,0.214285714285714,1,0.285714285714286,0.142857142857143,0.0357142857142857,0.178571428571429,0.25,0.166666666666667,0.285714285714286,0.171428571428571,0.0714285714285714
"WR",0.0857142857142857,0.114285714285714,0.171428571428571,0.0571428571428571,0.142857142857143,0.0571428571428571,0.171428571428571,0.0571428571428571,0.228571428571429,0.171428571428571,1,0.228571428571429
"JP",0.0909090909090909,1,0.214285714285714,0.130434782608696,0.173913043478261,0.136363636363636,0.181818181818182,0.230769230769231,0.2,0.37037037037037,0.114285714285714,0.2
"WW",1,0.0909090909090909,0.107142857142857,0.0434782608695652,0.1,0.133333333333333,0.1875,0.115384615384615,0.1,0.0740740740740741,0.0857142857142857,0.04
"SR",0.0434782608695652,0.130434782608696,0.285714285714286,1,0.304347826086957,0.130434782608696,0.217391304347826,0.222222222222222,0.333333333333333,0.185185185185185,0.0571428571428571,0.2
"NI",0.1875,0.181818181818182,0.178571428571429,0.217391304347826,0.2,0.1875,1,0.192307692307692,0.233333333333333,0.333333333333333,0.171428571428571,0.16
"SP",0.115384615384615,0.230769230769231,0.25,0.222222222222222,0.333333333333333,0.230769230769231,0.192307692307692,1,0.233333333333333,0.357142857142857,0.0571428571428571,0.285714285714286
"WB",0.1,0.173913043478261,0.142857142857143,0.304347826086957,1,0.25,0.2,0.333333333333333,0.2,0.296296296296296,0.142857142857143,0.24
"TI",0.133333333333333,0.136363636363636,0.0357142857142857,0.130434782608696,0.25,1,0.1875,0.230769230769231,0.133333333333333,0.111111111111111,0.0571428571428571,0.12
