"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","B18","B19","LJ","SS","WR","JP","WW","SR","NI","SP","WB","TI"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55044955044955,0.0759240759240759,0.756243756243756,0.114885114885115,0.02997002997003,0.24975024975025,0.124875124875125,0.013986013986014,0.000999000999000999,0.045954045954046,0.045954045954046,0.000999000999000999
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198801198801199,0.000999000999000999,0.01998001998002,0.121878121878122,0.00899100899100899,0.228771228771229,0.000999000999000999,0.011988011988012,0.000999000999000999,0.000999000999000999,0.376623376623377,0.0599400599400599
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102897102897103,0.0989010989010989,0.382617382617383,0.000999000999000999,0.0749250749250749,0.143856143856144,0.00999000999000999,0.0679320679320679,0.000999000999000999,0.000999000999000999,0.117882117882118,0.000999000999000999
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0709290709290709,0.038961038961039,0.000999000999000999,0.000999000999000999,0.252747252747253,0.768231768231768,0.041958041958042,0.0719280719280719,0.353646353646354,0.016983016983017,0.393606393606394,0.763236763236763
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210789210789211,0.566433566433566,0.382617382617383,0.94005994005994,0.233766233766234,0.788211788211788,0.0849150849150849,0.976023976023976,0.113886113886114,0.382617382617383,0.000999000999000999,0.0559440559440559
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255744255744256,0.000999000999000999,0.031968031968032,0.334665334665335,0.190809190809191,0.210789210789211,0.113886113886114,0.038961038961039,0.107892107892108,0.000999000999000999,0.54045954045954,0.0689310689310689
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000999000999000999,0.225774225774226,0.0829170829170829,0.483516483516484,0.140859140859141,0.0769230769230769,0.015984015984016,0.0559440559440559,0.107892107892108,0.205794205794206,0.186813186813187,0.548451548451548
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46953046953047,0.328671328671329,0.002997002997003,0.000999000999000999,0.001998001998002,0.194805194805195,0.025974025974026,0.0799200799200799,0.000999000999000999,0.112887112887113,0.941058941058941,0.0989010989010989
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014985014985015,0.0889110889110889,0.0579420579420579,0.031968031968032,0.0929070929070929,0.028971028971029,0.000999000999000999,0.0579420579420579,0.00999000999000999,0.000999000999000999,0.0819180819180819,0.117882117882118
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044955044955045,0.036963036963037,0.0919080919080919,0.0829170829170829,0.000999000999000999,0.003996003996004,0.0709290709290709,0.000999000999000999,0.0559440559440559,0.018981018981019,0.98001998001998,0.016983016983017
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141858141858142,0.173826173826174,0.256743256743257,0.00799200799200799,0.000999000999000999,0.000999000999000999,0.0969030969030969,0.000999000999000999,0.0919080919080919,0.00899100899100899,0.231768231768232,0.032967032967033
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0679320679320679,0.235764235764236,0.776223776223776,0.195804195804196,0.000999000999000999,0.000999000999000999,0.031968031968032,0.00799200799200799,0.167832167832168,0.236763236763237,0.812187812187812,0.227772227772228
