"metric","PPT","TMIN","TMAX","Elev"
"mean",526.694518024972,-10.2606525849463,25.2039130686667,2529.78378330798
"min",283.101898193359,-19.4506988525391,20.4671001434326,1695.68688964844
"max",1254.92602539062,-4.96000003814697,30.2598991394043,3305.462890625
