"B18","B19","SH","EP","LJ","SS","FP","WR","JP","WW","SR","NI","SP","WB","TI","time","year","month"
-6.10000038146973,-8.13899993896484,-8.48400020599365,-6.03700017929077,-7.00900030136108,-4.88100004196167,-5.97400045394897,-6.89100027084351,-6.2790002822876,-4.41300010681152,-5.76100015640259,-11.2630004882812,-9.79600048065186,-7.59200048446655,-9.57000064849854,"189501","1895","01"
-7.39400053024292,-8.92600059509277,-9.56900024414062,-7.43100023269653,-8.04400062561035,-6.72800016403198,-7.71400022506714,-8.26100063323975,-7.72400045394897,-5.75700044631958,-6.76200008392334,-11.3870000839233,-10.8540000915527,-8.60900020599365,-10.238000869751,"189502","1895","02"
-2.08700013160706,-3.86300015449524,-4.28600025177002,-2.07600021362305,-2.86700010299683,-1.32400012016296,-2.39400005340576,-2.43900012969971,-2.1800000667572,-0.359000027179718,-1.85700011253357,-6.7180004119873,-5.23200035095215,-3.45400023460388,-4.70500040054321,"189503","1895","03"
5.23000001907349,3.33800005912781,3.18700003623962,5.30200004577637,4.29100036621094,6.03200006484985,5.06500005722046,4.50100040435791,4.63000011444092,7.41100025177002,4.60900020599365,0.814000010490417,2.57100009918213,3.92900013923645,2.93600010871887,"189504","1895","04"
7.75200033187866,5.86700010299683,5.56600046157837,7.64900016784668,6.76600027084351,8.48300075531006,7.46500015258789,8.12400054931641,8.22100067138672,10.6660003662109,8.23099994659424,3.382000207901,5.36100006103516,6.35700035095215,5.53200006484985,"189505","1895","05"
10.702000617981,8.75100040435791,8.51500034332275,10.8950004577637,9.86300086975098,11.4140005111694,10.4180002212524,10.8730001449585,11.113000869751,13.327000617981,10.8890008926392,6.12200021743774,8.10800075531006,9.24600028991699,8.51399993896484,"189506","1895","06"
13.8610010147095,11.6030006408691,11.57200050354,13.8980007171631,12.8380002975464,14.7320003509521,13.6080007553101,13.19700050354,13.3620004653931,16.0470008850098,13.1230010986328,8.8430004119873,10.9710006713867,12.202000617981,11.8890008926392,"189507","1895","07"
15.2790002822876,13.3340005874634,13.1460008621216,15.354001045227,14.4900007247925,16.1110000610352,15.024001121521,14.403000831604,14.6800003051758,16.9950008392334,14.0160007476807,10.8790006637573,12.6710004806519,13.7200002670288,13.0610008239746,"189508","1895","08"
12.0400009155273,10.1000003814697,10.0580005645752,12.0970001220703,11.193000793457,12.8530006408691,11.8590002059937,11.6470003128052,11.9220008850098,14.0740003585815,11.6230001449585,7.50400018692017,9.54300022125244,10.6470003128052,9.31300067901611,"189509","1895","09"
5.21100044250488,3.6340000629425,3.35500025749207,5.2480001449585,4.61700010299683,5.99700021743774,5.05800008773804,4.70300006866455,5.20300006866455,7.02600049972534,5.8250002861023,1.49500012397766,2.91900014877319,3.80900025367737,3.18200016021729,"189510","1895","10"
-1.17800009250641,-3.32000017166138,-3.49500012397766,-1.11300003528595,-2.07500004768372,-0.397000014781952,-1.46900010108948,-3.47200012207031,-2.99400019645691,-1.21700000762939,-3.10200023651123,-6.97600030899048,-4.9040002822876,-2.64200019836426,-4.9060001373291,"189511","1895","11"
-3.91400027275085,-5.95800018310547,-6.16100025177002,-3.7720000743866,-4.85300016403198,-3.18500018119812,-4.20900011062622,-6.64200019836426,-5.83800029754639,-3.68200016021729,-4.76100015640259,-10.1700000762939,-8.63000011444092,-5.33100032806396,-8.98400020599365,"189512","1895","12"
-1.52300012111664,-3.28300023078918,-3.69600009918213,-1.41600000858307,-2.22500014305115,-0.763000011444092,-1.83500003814697,-3.28900027275085,-2.68500018119812,-0.656000018119812,-1.76300013065338,-6.58500051498413,-5.94000005722046,-2.96500015258789,-5.63100004196167,"189601","1896","01"
-2.51900005340576,-4.5600004196167,-5.00500011444092,-2.7590000629425,-3.65000009536743,-1.7150000333786,-2.73800015449524,-4.35100030899048,-3.87200021743774,-1.51500010490417,-3.33300018310547,-8.11500072479248,-6.61800050735474,-3.9850001335144,-6.21100044250488,"189602","1896","02"
-1.05300009250641,-3.00500011444092,-3.34300017356873,-0.942000031471252,-2.00600004196167,-0.391000032424927,-1.40500009059906,-2.06500005722046,-1.71700012683868,-0.288000017404556,-2.31600022315979,-5.70600032806396,-4.16200017929077,-2.31200003623962,-4.03200006484985,"189603","1896","03"
3.49000024795532,1.62200009822845,1.58500003814697,3.75800013542175,2.64100003242493,4.1710000038147,3.24600005149841,3.55200028419495,3.6540002822876,5.70500040054321,2.78500008583069,-0.519000053405762,1.34600007534027,2.21200013160706,1.40600001811981,"189604","1896","04"
9.08800029754639,7.05000019073486,6.91700029373169,9.13300037384033,8.09899997711182,9.82300090789795,8.80400085449219,8.55300045013428,8.79300022125244,10.8880004882812,8.41200065612793,4.27200031280518,6.48200035095215,7.68600034713745,6.31400012969971,"189605","1896","05"
14.3360004425049,12.3510007858276,12.0750007629395,14.2890005111694,13.3940010070801,15.1250009536743,14.0900011062622,14.2770004272461,14.4910011291504,16.6180000305176,13.778000831604,9.63200092315674,11.6360006332397,12.827000617981,12.0840005874634,"189606","1896","06"
16.6100006103516,14.4950008392334,14.2580003738403,16.6040000915527,15.7010011672974,17.4540004730225,16.3190002441406,15.5970010757446,15.7090005874634,18.3540000915527,15.3390007019043,11.5950002670288,13.3800010681152,14.9340009689331,13.9870004653931,"189607","1896","07"
16.0250015258789,14.0470008850098,13.8390007019043,16.0610008239746,15.242000579834,16.9150009155273,15.7490005493164,15.1500005722046,15.4640007019043,17.8420009613037,15.8030004501343,11.3990001678467,13.1540002822876,14.4540004730225,13.8590002059937,"189608","1896","08"
