"B18","B19","EP","FP","JP","LJ","NI","SH","SR","SS","SP","TI","WR","WW","WB","time","year","month"
4.05999994277954,3.11199998855591,4.15500020980835,3.96300005912781,5.07399988174438,3.64400005340576,2.10599994659424,2.85599994659424,4.81699991226196,4.5479998588562,2.66700005531311,2.45799994468689,4.99399995803833,6.02299976348877,3.36299991607666,"189501","1895","01"
3.84400010108948,3.13299989700317,3.82299995422363,3.72900009155273,4.59999990463257,3.47399997711182,2.47399997711182,2.81200003623962,4.95300006866455,4.23799991607666,2.88299989700317,2.82999992370605,4.59600019454956,5.7810001373291,3.23099994659424,"189502","1895","02"
6.46099996566772,5.31599998474121,6.39099979400635,6.28999996185303,6.96799993515015,5.91699981689453,4.13000011444092,5.1230001449585,6.92999982833862,7.05800008773804,5.02400016784668,5.18400001525879,6.92899990081787,8.07900047302246,5.55000019073486,"189503","1895","03"
12.0270004272461,10.3120002746582,12.1140003204346,11.9460000991821,12.6409997940063,11.0340003967285,8.49499988555908,10.1370000839233,12.5170001983643,12.8669996261597,10.3319997787476,10.5450000762939,12.6960000991821,15.9490003585815,10.8520002365112,"189504","1895","04"
12.6999998092651,10.7069997787476,12.7239999771118,12.3369998931885,13.9689998626709,11.6560001373291,8.65100002288818,10.7690000534058,14.0059995651245,13.3290004730225,11.4969997406006,11.2119998931885,14.0830001831055,17.7679996490479,11.5719995498657,"189505","1895","05"
14.8629999160767,12.5100002288818,15.4750003814697,14.164999961853,17.1569995880127,13.83899974823,10.1309995651245,12.6420001983643,15.8109998703003,15.1350002288818,13.7340002059937,13.8859996795654,17.326000213623,19.6499996185303,13.6979999542236,"189506","1895","06"
16.8169994354248,14.0909996032715,17.2959995269775,16.1270008087158,18.9020004272461,15.4820003509521,11.5220003128052,14.16100025177,18.0620002746582,17.4659996032715,15.3830003738403,16.5709991455078,19.0470008850098,23.003999710083,15.2980003356934,"189507","1895","07"
21.5869998931885,18.3110008239746,22.693000793457,20.8349990844727,21.7210006713867,20.1790008544922,14.9309997558594,18.6830005645752,19.6119995117188,22.5130004882812,19.5,20.3290004730225,21.7849998474121,25.6159992218018,19.6450004577637,"189508","1895","08"
20.4130001068115,17.4489994049072,20.9109992980957,20.0170001983643,21.7810001373291,19.0160007476807,14.0790004730225,17.7110004425049,20.9400005340576,21.4829998016357,18.07200050354,17.0820007324219,22.0499992370605,26.7000007629395,18.6450004577637,"189509","1895","09"
11.9209995269775,10.2030000686646,12.4790000915527,11.789999961853,13.451000213623,11.2209997177124,8.42800045013428,10.3039999008179,12.8900003433228,12.5310001373291,10.6359996795654,10.0690002441406,13.5839996337891,16.5230007171631,10.9359998703003,"189510","1895","10"
6.35200023651123,4.99900007247925,6.51700019836426,6.24499988555908,6.69000005722046,5.80600023269653,3.11999988555908,4.74399995803833,6.85400009155273,7.07000017166138,4.23699998855591,3.42499995231628,6.72700023651123,8.43299961090088,5.2519998550415,"189511","1895","11"
5.26200008392334,4.12400007247925,5.40799999237061,5.2020001411438,5.70599985122681,4.68200016021729,2.33999991416931,3.86500000953674,6.22399997711182,5.93499994277954,3.09100008010864,2.5550000667572,5.52500009536743,7.25899982452393,4.34899997711182,"189512","1895","12"
6.77799987792969,5.35200023651123,6.92199993133545,6.62400007247925,7.14400005340576,6.15999984741211,3.3289999961853,5.11199998855591,7.53599977493286,7.53399991989136,4.14099979400635,3.54800009727478,7.07100009918213,9.28800010681152,5.70100021362305,"189601","1896","01"
6.53999996185303,5.30600023269653,6.48000001907349,6.4520001411438,6.80800008773804,5.86600017547607,3.73300004005432,5.00299978256226,7.01900005340576,7.2480001449585,4.65899991989136,4.29500007629395,6.88399982452393,8.72299957275391,5.55700016021729,"189602","1896","02"
7.27199983596802,6.1269998550415,7.47300004959106,7.06199979782104,7.35699987411499,6.81099987030029,4.85599994659424,5.99700021743774,7.26399993896484,7.80299997329712,5.71199989318848,5.18300008773804,7.21099996566772,8.50100040435791,6.39400005340576,"189603","1896","03"
9.5319995880127,8.05700016021729,9.78999996185303,9.54500007629395,11.0279998779297,8.6879997253418,6.81699991226196,7.89699983596802,9.59000015258789,10.3870000839233,8.52499961853027,8.30300045013428,11.125,12.7819995880127,8.47299957275391,"189604","1896","04"
14.3929996490479,12.0799999237061,14.6309995651245,14.0590000152588,16.0139999389648,13.2959995269775,9.69799995422363,12.1190004348755,14.9409999847412,15.2069997787476,12.9160003662109,12.5150003433228,16.0109996795654,18.0100002288818,13.0520000457764,"189605","1896","05"
22.1420001983643,18.8619995117188,21.9799995422363,21.4190006256104,24.9360008239746,20.3379993438721,15.1049995422363,18.7749996185303,21.9829998016357,22.9899997711182,19.9139995574951,20.4629993438721,25.1720008850098,28.0330009460449,20.3090000152588,"189606","1896","06"
21.9340000152588,18.2929992675781,22.2210006713867,21.0249996185303,21.8320007324219,20.1979999542236,13.3780002593994,18.3250007629395,20.1380004882812,22.7590007781982,18.2360000610352,17.9379997253418,22.0769996643066,27.6359996795654,19.9139995574951,"189607","1896","07"
22.0790004730225,18.125,22.8290004730225,21.1730003356934,22.5289993286133,20.3880004882812,13.5729999542236,18.4839992523193,21.4130001068115,23.201000213623,18.6490001678467,17.9930000305176,22.7520008087158,27.8120002746582,19.8530006408691,"189608","1896","08"
14.5830001831055,12.33899974823,15.125,14.1440000534058,17.132999420166,13.5139999389648,10.0539999008179,12.8739995956421,17.6079998016357,15.2639999389648,13.2720003128052,12.5670003890991,17.3799991607666,21.423999786377,13.5380001068115,"189609","1896","09"
