"B18","B19","EP","FP","JP","LJ","NI","SH","SR","SS","SP","TI","WR","WW","WB","time","year","month"
37.7639999389648,86.4410018920898,23.492000579834,34.1230010986328,17.2759990692139,43.3520011901855,154.458999633789,118.892997741699,32.5870018005371,23.4150009155273,110.402000427246,410.006011962891,16.6529998779297,16.1919994354248,90.4260025024414,"189501","1895","01"
24.8190002441406,40.2169990539551,22.367000579834,24.1989994049072,22.3020000457764,28.5639991760254,75.431999206543,52.476001739502,30.2210006713867,22.8589992523193,50.9900016784668,128.238998413086,21.4300003051758,21.621000289917,37.6720008850098,"189502","1895","02"
58.9609985351562,76.8929977416992,36.6080017089844,55.5789985656738,22.0849990844727,64.9690017700195,75.5080032348633,81.3010025024414,56.685001373291,59.4850006103516,40.1539993286133,123.398002624512,19.4290008544922,24.2210006713867,66.2509994506836,"189503","1895","03"
64.0390014648438,77.5110015869141,42.3559989929199,61.9459991455078,26.1159992218018,58.2910003662109,83.1719970703125,75.6999969482422,53.2099990844727,64.4779968261719,48.568000793457,71.484001159668,24.2889995574951,29.2469997406006,66.8649978637695,"189504","1895","04"
88.911003112793,92.6480026245117,79.943000793457,89.3939971923828,71.1470031738281,84.3219985961914,90.6890029907227,87.6579971313477,83.4059982299805,92.1279983520508,76.3209991455078,95.8249969482422,70.5530014038086,68.4789962768555,88.2330017089844,"189505","1895","05"
82.4889984130859,79.6869964599609,76.8030014038086,85.9039993286133,72.3030014038086,84.427001953125,78.1470031738281,81.0009994506836,107.046997070312,92.4899978637695,72.5910034179688,89.5979995727539,69.4390029907227,79.5279998779297,75.3939971923828,"189506","1895","06"
73.6849975585938,75.052001953125,70.1880035400391,78.0739974975586,92.0970001220703,73.2470016479492,64.6869964599609,68.9219970703125,96.9759979248047,73.8600006103516,63.4370002746582,36.6920013427734,91.338996887207,77.7300033569336,73.2720031738281,"189507","1895","07"
42.826000213623,46.0750007629395,33.4700012207031,52.7369995117188,62.007999420166,41.9109992980957,49.6790008544922,39.798999786377,98.1600036621094,45.9529991149902,49.5040016174316,27.7129993438721,61.9410018920898,61.2809982299805,43.6100006103516,"189508","1895","08"
22.0599994659424,28.4869995117188,15.5200004577637,21.9039993286133,13.7189998626709,20.0790004730225,36.6829986572266,26.2250003814697,16.3700008392334,19.511999130249,32.5169982910156,36.0219993591309,13.4169998168945,10.7829999923706,27.6509990692139,"189509","1895","09"
20.7609996795654,20.6389999389648,20.1229991912842,20.8959999084473,25.6270008087158,20.2110004425049,19.9669990539551,19.9400005340576,23.8279991149902,21.0020008087158,20.2870006561279,18.9790000915527,25.6560001373291,23.8390007019043,20.443000793457,"189510","1895","10"
28.4020004272461,50.0559997558594,19.6590003967285,26.7700004577637,22.1380004882812,30.4790000915527,96.9349975585938,56.9570007324219,34.9189987182617,27.0809993743896,55.9770011901855,206.248992919922,20.8349990844727,19.6180000305176,47.3040008544922,"189511","1895","11"
26.5139999389648,53.3540000915527,12.003999710083,25.5699996948242,16.6870002746582,29.056999206543,115.878997802734,71.4850006103516,22.2509994506836,23.261999130249,74.1600036621094,239.667007446289,15.1459999084473,13.9420003890991,46.3380012512207,"189512","1895","12"
20.0170001983643,36.117000579834,15.6160001754761,19.5359992980957,12.6770000457764,22.1520004272461,60.5130004882812,40.5299987792969,20.5799999237061,18.0060005187988,43.5620002746582,151.319000244141,12.2600002288818,12.9530000686646,34.7029991149902,"189601","1896","01"
16.2159996032715,29.6060009002686,10.6070003509521,17.4300003051758,14.1680002212524,16.9930000305176,50.6730003356934,33.8919982910156,24.628999710083,16.0669994354248,33.2430000305176,53.6699981689453,13.1979999542236,14.5819997787476,25.7040004730225,"189602","1896","02"
67.4580001831055,86.536003112793,49.9199981689453,65.515998840332,36.6829986572266,75.9380035400391,92.7220001220703,100.307998657227,77.556999206543,67.9960021972656,53.8409996032715,73.0979995727539,32.8390007019043,38.3610000610352,78.1419982910156,"189603","1896","03"
71.6269989013672,86.0279998779297,57.6769981384277,72.4680023193359,44.6959991455078,72.8659973144531,103.712997436523,94.0869979858398,75.2570037841797,73.286003112793,63.9379997253418,49.3370018005371,42.7750015258789,51.5810012817383,79.088996887207,"189604","1896","04"
46.507999420166,52.201000213623,39.5470008850098,43.951000213623,27.5930004119873,45.2210006713867,57.9410018920898,53.2039985656738,53.0309982299805,45.0379981994629,38.5830001831055,82.3190002441406,25.2900009155273,28.1299991607666,49.6349983215332,"189605","1896","05"
48.6520004272461,45.3699989318848,45.7709999084473,49.9440002441406,28.07200050354,52.5429992675781,43.2019996643066,48.1430015563965,42.3409996032715,56.5550003051758,37.1269989013672,38.935001373291,27.488000869751,27.7360000610352,41.1549987792969,"189606","1896","06"
61.1590003967285,62.0800018310547,60.515998840332,63.9589996337891,70.5960006713867,61.5610008239746,58.359001159668,59.9850006103516,75.0059967041016,61.3860015869141,57.6450004577637,47.0750007629395,70.2119979858398,68.1470031738281,61.4710006713867,"189607","1896","07"
39.0190010070801,38.7849998474121,38.3429985046387,39.6959991455078,46.2400016784668,39.5839996337891,39.1339988708496,37.9720001220703,58.8650016784668,38.7480010986328,39.0699996948242,29.5259990692139,46.4529991149902,45.826000213623,38.4059982299805,"189608","1896","08"
41.6040000915527,44.1100006103516,38.8870010375977,40.923999786377,41.5499992370605,40.9389991760254,50.2470016479492,43.6829986572266,45.451000213623,39.9039993286133,47.4679985046387,62.7719993591309,41.007999420166,41.0870018005371,43.8320007324219,"189609","1896","09"
