"B18","B19","EP","FP","JP","LJ","NI","SH","SR","SS","SP","TI","WR","WW","WB","year"
2.34384608268738,1.66586875915527,1.56273949146271,1.8538316488266,2.33785581588745,1.48120892047882,2.20193076133728,1.43679094314575,1.32720077037811,1.8538316488266,2.20193076133728,1.93720984458923,2.03092741966248,1.49150991439819,2.53638648986816,1895
2.13071163495382,1.01317703723907,-0.289693713188171,1.12316882610321,0.49574089050293,0.866860449314117,1.0802731513977,0.9422926902771,-1.20131206512451,1.12316882610321,1.0802731513977,0.90362423658371,0.683948993682861,0.965169310569763,1.84439015388489,1896
2.03136384487152,1.39545059204102,0.480214029550552,1.28955864906311,2.04579925537109,0.684230804443359,1.78483200073242,0.393423646688461,1.00101780891418,1.28955864906311,1.78483200073242,1.39805722236633,1.93963253498077,2.98388886451721,2.31210088729858,1897
-0.650026013453802,-0.346890151500702,-1.02373838424683,-0.675674140453339,1.9742124080658,-0.371692687273026,-1.35820162296295,-0.879269599914551,1.22164082527161,-0.675674140453339,-1.35820162296295,-2.75447106361389,1.82373261451721,3.2655680179596,-0.779520928859711,1898
-1.43792645136515,-0.867569863796234,-1.21774446964264,-1.19091415405273,-1.50481617450714,-1.28482520580292,-1.68882417678833,-1.06430327892303,-1.89521682262421,-1.19091415405273,-1.68882417678833,-1.53064811229706,-1.26789379119873,0.977736830711365,-1.40733754634857,1899
-1.11168611049652,-2.43169450759888,-2.97638964653015,-2.60596394538879,-2.26488399505615,-2.24097013473511,-2.85850119590759,-2.31842970848083,-2.54571652412415,-2.60596394538879,-2.85850119590759,-2.83651924133301,-1.88492226600647,-1.41812992095947,-2.40399765968323,1900
-2.56195632616679,-2.10537147521973,-2.00927424430847,-2.48245811462402,-1.57791936397552,-2.27402400970459,-1.86623668670654,-2.68120455741882,-2.16082048416138,-2.48245811462402,-1.86623668670654,-0.972183108329773,-1.96007943153381,-0.726426839828491,-2.28308963775635,1901
-4.05249333381653,-2.71048545837402,-2.83108973503113,-2.86820197105408,-2.72629165649414,-3.22543859481812,-3.40282988548279,-3.87363982200623,-2.8018958568573,-2.86820197105408,-3.40282988548279,-3.62252354621887,-3.76941132545471,-2.33728575706482,-3.8453323841095,1902
1.3163157304128,1.66377675533295,0.055141381919384,1.96619582176208,-0.607250809669495,1.18975019454956,-0.526596963405609,-0.659842133522034,-0.773873329162598,1.96619582176208,-0.526596963405609,-2.06816911697388,-1.00913953781128,-1.06779360771179,1.3774322271347,1903
-1.06621851523717,-0.817989230155945,-0.746867001056671,-1.04903411865234,-0.74877655506134,-0.633535444736481,1.07773423194885,-0.802006900310516,-0.53265517950058,-1.04903411865234,1.07773423194885,1.95901966094971,-0.404257476329803,-1.43867218494415,-0.619346916675568,1904
3.17088405291239,1.76534533500671,1.15891671180725,2.0266444683075,0.756131529808044,1.79488849639893,2.36198735237122,1.9277651309967,1.86821639537811,2.0266444683075,2.36198735237122,4.50010871887207,1.89572370052338,0.906483471393585,2.88734459877014,1905
1.77461349964142,0.92994612455368,0.0536257922649384,1.21794819831848,-1.54147303104401,-0.41373685002327,0.890786588191986,-0.432905733585358,-0.767044484615326,1.21794819831848,0.890786588191986,1.75545632839203,-1.12611961364746,-0.0657524913549423,1.76943814754486,1906
2.11678957939148,1.5673953294754,0.49512329697609,1.30637633800507,-1.14857685565948,1.25907671451569,0.741915166378021,1.5353786945343,-1.66897463798523,1.30637633800507,0.741915166378021,1.65768492221832,-0.020898787304759,-2.20303606987,2.05945014953613,1907
-1.58477254708608,-1.16794013977051,-0.87384420633316,-1.85602974891663,-2.98403382301331,-1.15133249759674,-1.11445248126984,-1.11427521705627,-2.5972170829773,-1.85602974891663,-1.11445248126984,0.514811277389526,-2.64855051040649,-3.9358696937561,-1.02968084812164,1908
