"","B18","B19","EP","FP","JP","LJ","NI","SH","SR","SS","SP","TI","WR","WW","WB"
"1694",1.686,1.686,1.686,0.877,0.24,1.686,1.096,1.096,0.304,0.877,1.096,1.413,0.24,0.24,1.096
"1695",1.634,1.634,1.634,1.172,0.93,1.634,0.753,0.753,1.231,1.172,0.753,0.392,0.93,0.93,0.753
"1696",-0.671,-0.671,-0.671,-0.879,-1.13,-0.671,-0.517,-0.517,-1.135,-0.879,-0.517,-0.802,-1.13,-1.13,-0.517
"1697",1.66,1.66,1.66,1.506,1.349,1.66,1.138,1.138,1.362,1.506,1.138,0.965,1.349,1.349,1.138
"1698",-0.316,-0.316,-0.316,0.133,0.496,-0.316,-0.185,-0.185,0.611,0.133,-0.185,-0.255,0.496,0.496,-0.185
"1699",0.694,0.694,0.694,0.957,1.294,0.694,0.447,0.447,1.269,0.957,0.447,0.78,1.294,1.294,0.447
"1700",-0.67,-0.67,-0.67,-0.899,-0.985,-0.67,-0.51,-0.51,-0.777,-0.899,-0.51,-0.354,-0.985,-0.985,-0.51
"1701",2.706,2.706,2.706,2.698,2.77,2.706,1.699,1.699,3.069,2.698,1.699,1.908,2.77,2.77,1.699
"1702",3.369,3.369,3.369,2.727,2.301,3.369,2.156,2.156,2.744,2.727,2.156,2.494,2.301,2.301,2.156
"1703",-0.427,-0.427,-0.427,-0.309,0.022,-0.427,-0.571,-0.571,0.515,-0.309,-0.571,-1.121,0.022,0.022,-0.571
"1704",-3.281,-3.281,-3.281,-2.811,-2.367,-3.281,-2.381,-2.381,-2.282,-2.811,-2.381,-2.897,-2.367,-2.367,-2.381
"1705",-0.372,-0.372,-0.372,-0.419,-0.458,-0.372,-0.342,-0.342,-0.4,-0.419,-0.342,-0.324,-0.458,-0.458,-0.342
"1706",0.369,0.369,0.369,0.898,1.515,0.369,-0.126,-0.126,1.956,0.898,-0.126,-0.76,1.515,1.515,-0.126
"1707",-0.155,-0.155,-0.155,-0.428,-0.566,-0.155,-0.203,-0.203,-0.51,-0.428,-0.203,-0.451,-0.566,-0.566,-0.203
"1708",-2.176,-2.176,-2.176,-1.752,-1.31,-2.176,-1.569,-1.569,-1.33,-1.752,-1.569,-2.341,-1.31,-1.31,-1.569
"1709",-4.163,-4.163,-4.163,-3.396,-2.903,-4.163,-2.569,-2.569,-3.124,-3.396,-2.569,-2.668,-2.903,-2.903,-2.569
"1710",2.265,2.265,2.265,2.713,3.27,2.265,1.253,1.253,3.757,2.713,1.253,0.847,3.27,3.27,1.253
"1711",-0.661,-0.661,-0.661,0.055,0.674,-0.661,-0.44,-0.44,0.728,0.055,-0.44,-0.805,0.674,0.674,-0.44
"1712",0.502,0.502,0.502,1.16,1.778,0.502,0.26,0.26,2.069,1.16,0.26,-0.048,1.778,1.778,0.26
"1713",-0.024,-0.024,-0.024,0.472,1.053,-0.024,-0.303,-0.303,1.483,0.472,-0.303,-0.667,1.053,1.053,-0.303
"1714",-0.289,-0.289,-0.289,-0.36,-0.243,-0.289,-0.57,-0.57,0.06,-0.36,-0.57,-1.036,-0.243,-0.243,-0.57
"1715",-0.346,-0.346,-0.346,-0.639,-0.88,-0.346,-0.273,-0.273,-0.988,-0.639,-0.273,-0.204,-0.88,-0.88,-0.273
"1716",0.42,0.42,0.42,-0.129,-0.688,0.42,0.379,0.379,-0.927,-0.129,0.379,0.482,-0.688,-0.688,0.379
"1717",-1.672,-1.672,-1.672,-1.224,-0.984,-1.672,-1.027,-1.027,-1.196,-1.224,-1.027,-1.565,-0.984,-0.984,-1.027
"1718",0.454,0.454,0.454,0.959,1.248,0.454,0.459,0.459,1.064,0.959,0.459,0.481,1.248,1.248,0.459
"1719",2.476,2.476,2.476,2.021,1.637,2.476,1.708,1.708,1.913,2.021,1.708,2.534,1.637,1.637,1.708
"1720",5.881,5.881,5.881,5.458,5.233,5.881,3.885,3.885,5.716,5.458,3.885,4.839,5.233,5.233,3.885
