"","B18","B19","EP","FP","JP","LJ","NI","SH","SR","SS","SP","TI","WR","WW","WB"
"1837",4.032,4.032,4.032,3.373,2.99,4.032,2.565,2.565,3.533,3.373,2.565,3.213,2.99,2.99,2.565
"1838",4.933,4.933,4.933,4.38,4.216,4.933,2.901,2.901,5.039,4.38,2.901,3.413,4.216,4.216,2.901
"1839",5.255,5.255,5.255,4.665,4.541,5.255,3.107,3.107,5.434,4.665,3.107,3.654,4.541,4.541,3.107
"1840",2.742,2.742,2.742,2.631,2.737,2.742,1.646,1.646,3.327,2.631,1.646,1.95,2.737,2.737,1.646
"1841",2.287,2.287,2.287,1.999,1.805,2.287,1.502,1.502,2.023,1.999,1.502,1.761,1.805,1.805,1.502
"1842",-6.005,-6.005,-6.005,-5.283,-4.855,-6.005,-3.711,-3.711,-5.416,-5.283,-3.711,-3.885,-4.855,-4.855,-3.711
"1843",1.986,1.986,1.986,1.619,1.211,1.986,1.451,1.451,1.134,1.619,1.451,2.073,1.211,1.211,1.451
"1844",3.22,3.22,3.22,2.762,2.695,3.22,1.76,1.76,3.165,2.762,1.76,1.767,2.695,2.695,1.76
"1845",-2.704,-2.704,-2.704,-2.147,-1.511,-2.704,-2.126,-2.126,-1.408,-2.147,-2.126,-3.051,-1.511,-1.511,-2.126
"1846",-3.389,-3.389,-3.389,-2.828,-2.253,-3.389,-2.493,-2.493,-2.334,-2.828,-2.493,-3.172,-2.253,-2.253,-2.493
"1847",-5.202,-5.202,-5.202,-4.729,-4.41,-5.202,-3.46,-3.46,-4.857,-4.729,-3.46,-4.134,-4.41,-4.41,-3.46
"1848",-4.557,-4.557,-4.557,-3.664,-3.104,-4.557,-2.896,-2.896,-3.588,-3.664,-2.896,-3.159,-3.104,-3.104,-2.896
"1849",1.149,1.149,1.149,1.191,1.17,1.149,0.93,0.93,1.108,1.191,0.93,1.582,1.17,1.17,0.93
"1850",2.133,2.133,2.133,1.916,1.755,2.133,1.457,1.457,1.725,1.916,1.457,1.546,1.755,1.755,1.457
"1851",-5.701,-5.701,-5.701,-5.477,-5.321,-5.701,-3.659,-3.659,-5.918,-5.477,-3.659,-3.653,-5.321,-5.321,-3.659
"1852",-2.362,-2.362,-2.362,-2.009,-1.739,-2.362,-1.355,-1.355,-2.23,-2.009,-1.355,-1.016,-1.739,-1.739,-1.355
"1853",1.847,1.847,1.847,1.56,1.253,1.847,1.363,1.363,1.128,1.56,1.363,2.02,1.253,1.253,1.363
"1854",1.786,1.786,1.786,1.601,1.492,1.786,1.254,1.254,1.52,1.601,1.254,1.663,1.492,1.492,1.254
"1855",-2.732,-2.732,-2.732,-2.005,-1.443,-2.732,-1.722,-1.722,-1.789,-2.005,-1.722,-2.083,-1.443,-1.443,-1.722
"1856",-3.049,-3.049,-3.049,-2.29,-1.719,-3.049,-1.917,-1.917,-2.065,-2.29,-1.917,-2.123,-1.719,-1.719,-1.917
"1857",-0.405,-0.405,-0.405,-0.082,0.245,-0.405,-0.53,-0.53,0.613,-0.082,-0.53,-0.914,0.245,0.245,-0.53
"1858",3.475,3.475,3.475,3.181,3.011,3.475,2.046,2.046,3.347,3.181,2.046,1.879,3.011,3.011,2.046
"1859",0.661,0.661,0.661,0.512,0.313,0.661,0.456,0.456,0.343,0.512,0.456,0.321,0.313,0.313,0.456
"1860",1.46,1.46,1.46,1.208,0.878,1.46,1.05,1.05,0.721,1.208,1.05,0.84,0.878,0.878,1.05
"1861",-4.194,-4.194,-4.194,-4.01,-4.048,-4.194,-2.6,-2.6,-4.617,-4.01,-2.6,-3.024,-4.048,-4.048,-2.6
"1862",-0.045,-0.045,-0.045,-0.161,-0.472,-0.045,0.279,0.279,-0.892,-0.161,0.279,0.746,-0.472,-0.472,0.279
"1863",-3.861,-3.861,-3.861,-3.091,-2.692,-3.861,-2.185,-2.185,-3.398,-3.091,-2.185,-2.161,-2.692,-2.692,-2.185
"1864",-0.255,-0.255,-0.255,-0.075,0.01,-0.255,-0.225,-0.225,0.003,-0.075,-0.225,-0.535,0.01,0.01,-0.225
"1865",-1.252,-1.252,-1.252,-0.877,-0.649,-1.252,-0.87,-0.87,-0.625,-0.877,-0.87,-1.121,-0.649,-0.649,-0.87
"1866",3.527,3.527,3.527,3.2,2.927,3.527,2.395,2.395,3.216,3.2,2.395,3.057,2.927,2.927,2.395
"1867",3.978,3.978,3.978,3.559,3.346,3.978,2.625,2.625,3.789,3.559,2.625,3.227,3.346,3.346,2.625
"1868",1.95,1.95,1.95,1.838,1.824,1.95,1.349,1.349,2,1.838,1.349,1.847,1.824,1.824,1.349
"1869",4.027,4.027,4.027,3.782,3.766,4.027,2.372,2.372,4.378,3.782,2.372,2.451,3.766,3.766,2.372
"1870",0.664,0.664,0.664,0.432,0.198,0.664,0.601,0.601,0.054,0.432,0.601,0.753,0.198,0.198,0.601
"1871",-3.935,-3.935,-3.935,-3.323,-2.854,-3.935,-2.742,-2.742,-2.91,-3.323,-2.742,-3.241,-2.854,-2.854,-2.742
"1872",0.682,0.682,0.682,0.882,1.038,0.682,0.184,0.184,1.457,0.882,0.184,-0.286,1.038,1.038,0.184
"1873",0.248,0.248,0.248,-0.054,-0.428,0.248,0.233,0.233,-0.524,-0.054,0.233,0.016,-0.428,-0.428,0.233
"1874",-2.914,-2.914,-2.914,-2.489,-2.152,-2.914,-1.813,-1.813,-2.327,-2.489,-1.813,-1.942,-2.152,-2.152,-1.813
"1875",-2.006,-2.006,-2.006,-1.703,-1.509,-2.006,-1.205,-1.205,-1.611,-1.703,-1.205,-1.145,-1.509,-1.509,-1.205
"1876",0.611,0.611,0.611,0.331,0.041,0.611,0.52,0.52,-0.09,0.331,0.52,0.491,0.041,0.041,0.52
"1877",-0.963,-0.963,-0.963,-0.727,-0.41,-0.963,-0.668,-0.668,-0.477,-0.727,-0.668,-0.708,-0.41,-0.41,-0.668
"1878",1.914,1.914,1.914,1.655,1.603,1.914,0.926,0.926,1.848,1.655,0.926,0.634,1.603,1.603,0.926
"1879",-1.828,-1.828,-1.828,-1.77,-1.546,-1.828,-1.495,-1.495,-1.633,-1.77,-1.495,-2.143,-1.546,-1.546,-1.495
"1880",-6.882,-6.882,-6.882,-6.181,-5.9,-6.882,-4.009,-4.009,-6.942,-6.181,-4.009,-3.861,-5.9,-5.9,-4.009
"1881",-3.069,-3.069,-3.069,-2.477,-2.011,-3.069,-2.032,-2.032,-2.122,-2.477,-2.032,-2.288,-2.011,-2.011,-2.032
"1882",-0.217,-0.217,-0.217,0.023,0.47,-0.217,-0.576,-0.576,0.769,0.023,-0.576,-1.176,0.47,0.47,-0.576
"1883",0.363,0.363,0.363,0.049,-0.112,0.363,0.004,0.004,-0.09,0.049,0.004,-0.226,-0.112,-0.112,0.004
"1884",1.68,1.68,1.68,1.58,1.643,1.68,0.942,0.942,2.024,1.58,0.942,1.055,1.643,1.643,0.942
"1885",1.741,1.741,1.741,1.647,1.689,1.741,1.304,1.304,1.686,1.647,1.304,1.741,1.689,1.689,1.304
"1886",-1.01,-1.01,-1.01,-0.62,-0.206,-1.01,-0.625,-0.625,-0.17,-0.62,-0.625,-0.587,-0.206,-0.206,-0.625
"1887",-3.436,-3.436,-3.436,-2.349,-1.343,-3.436,-2.323,-2.323,-1.404,-2.349,-2.323,-2.601,-1.343,-1.343,-2.323
"1888",-2.275,-2.275,-2.275,-1.664,-1.116,-2.275,-1.594,-1.594,-1.219,-1.664,-1.594,-1.548,-1.116,-1.116,-1.594
"1889",-0.082,-0.082,-0.082,-0.107,-0.04,-0.082,-0.311,-0.311,0.019,-0.107,-0.311,-0.554,-0.04,-0.04,-0.311
"1890",-0.935,-0.935,-0.935,-0.759,-0.545,-0.935,-0.867,-0.867,-0.362,-0.759,-0.867,-1.206,-0.545,-0.545,-0.867
"1891",1.807,1.807,1.807,1.696,1.743,1.807,0.922,0.922,2.16,1.696,0.922,0.758,1.743,1.743,0.922
"1892",1.728,1.728,1.728,1.508,1.424,1.728,1,1,1.598,1.508,1,0.835,1.424,1.424,1
"1893",-3.775,-3.775,-3.775,-3.268,-2.983,-3.775,-2.421,-2.421,-3.251,-3.268,-2.421,-2.774,-2.983,-2.983,-2.421
"1894",-0.698,-0.698,-0.698,-0.564,-0.549,-0.698,-0.67,-0.67,-0.371,-0.564,-0.67,-0.996,-0.549,-0.549,-0.67
"1895",2.855,2.855,2.855,2.672,2.579,2.855,1.785,1.785,2.841,2.672,1.785,1.624,2.579,2.579,1.785
"1896",-2.053,-2.053,-2.053,-1.98,-1.922,-2.053,-1.43,-1.43,-1.918,-1.98,-1.43,-1.915,-1.922,-1.922,-1.43
"1897",1.806,1.806,1.806,1.762,1.73,1.806,1.055,1.055,2.035,1.762,1.055,0.988,1.73,1.73,1.055
"1898",2.327,2.327,2.327,2.16,2.215,2.327,1.265,1.265,2.604,2.16,1.265,1.211,2.215,2.215,1.265
"1899",-2.574,-2.574,-2.574,-2.847,-3.217,-2.574,-1.438,-1.438,-3.666,-2.847,-1.438,-1.308,-3.217,-3.217,-1.438
"1900",-0.091,-0.091,-0.091,-0.049,0.048,-0.091,-0.27,-0.27,0.333,-0.049,-0.27,-0.768,0.048,0.048,-0.27
"1901",0.124,0.124,0.124,-0.034,-0.04,0.124,-0.127,-0.127,0.212,-0.034,-0.127,-0.554,-0.04,-0.04,-0.127
"1902",-4.468,-4.468,-4.468,-4.155,-3.827,-4.468,-3.154,-3.154,-3.91,-4.155,-3.154,-3.994,-3.827,-3.827,-3.154
"1903",1.541,1.541,1.541,1.39,1.406,1.541,0.62,0.62,1.649,1.39,0.62,0.296,1.406,1.406,0.62
"1904",1.75,1.75,1.75,0.941,0.282,1.75,0.802,0.802,0.651,0.941,0.802,0.678,0.282,0.282,0.802
"1905",2.632,2.632,2.632,2.276,2.307,2.632,1.285,1.285,3.075,2.276,1.285,1.203,2.307,2.307,1.285
"1906",1.659,1.659,1.659,1.341,1.169,1.659,1.01,1.01,1.352,1.341,1.01,1.467,1.169,1.169,1.01
"1907",5.829,5.829,5.829,5.165,4.796,5.829,3.703,3.703,5.213,5.165,3.703,4.292,4.796,4.796,3.703
"1908",0.644,0.644,0.644,0.295,0.124,0.644,0.658,0.658,-0.24,0.295,0.658,1.343,0.124,0.124,0.658
"1909",2.546,2.546,2.546,1.997,1.567,2.546,1.668,1.668,1.69,1.997,1.668,2.078,1.567,1.567,1.668
"1910",-0.574,-0.574,-0.574,-0.305,-0.028,-0.574,-0.334,-0.334,-0.016,-0.305,-0.334,-0.122,-0.028,-0.028,-0.334
"1911",-0.947,-0.947,-0.947,-0.276,0.173,-0.947,-0.417,-0.417,-0.104,-0.276,-0.417,-0.041,0.173,0.173,-0.417
"1912",2.809,2.809,2.809,2.77,2.867,2.809,1.711,1.711,3.209,2.77,1.711,1.966,2.867,2.867,1.711
"1913",1.453,1.453,1.453,1.243,1.163,1.453,0.792,0.792,1.6,1.243,0.792,0.984,1.163,1.163,0.792
"1914",4.434,4.434,4.434,4.256,4.301,4.434,2.655,2.655,5.116,4.256,2.655,3.01,4.301,4.301,2.655
"1915",4.162,4.162,4.162,3.806,3.822,4.162,2.298,2.298,4.644,3.806,2.298,2.297,3.822,3.822,2.298
"1916",2.007,2.007,2.007,1.837,1.756,2.007,1.329,1.329,1.897,1.837,1.329,1.712,1.756,1.756,1.329
"1917",1.406,1.406,1.406,1.346,1.334,1.406,1.038,1.038,1.37,1.346,1.038,1.415,1.334,1.334,1.038
"1918",1.726,1.726,1.726,1.302,0.938,1.726,1.22,1.22,0.995,1.302,1.22,1.576,0.938,0.938,1.22
"1919",-1.345,-1.345,-1.345,-0.27,0.904,-1.345,-1.265,-1.265,1.464,-0.27,-1.265,-1.759,0.904,0.904,-1.265
"1920",0.034,0.034,0.034,0.631,1.296,0.034,-0.258,-0.258,1.8,0.631,-0.258,-0.241,1.296,1.296,-0.258
"1921",5.565,5.565,5.565,5.265,5.118,5.565,3.415,3.415,5.801,5.265,3.415,3.466,5.118,5.118,3.415
"1922",0.212,0.212,0.212,0.174,0.154,0.212,0.17,0.17,0.235,0.174,0.17,0.191,0.154,0.154,0.17
"1923",1.316,1.316,1.316,0.785,0.204,1.316,0.86,0.86,0.204,0.785,0.86,1.021,0.204,0.204,0.86
"1924",2.697,2.697,2.697,2.261,2.043,2.697,1.539,1.539,2.394,2.261,1.539,1.288,2.043,2.043,1.539
"1925",-3.704,-3.704,-3.704,-3.379,-3.166,-3.704,-2.131,-2.131,-3.572,-3.379,-2.131,-1.742,-3.166,-3.166,-2.131
"1926",2.565,2.565,2.565,2.357,2.21,2.565,1.583,1.583,2.438,2.357,1.583,1.586,2.21,2.21,1.583
"1927",1.013,1.013,1.013,0.721,0.444,1.013,0.894,0.894,0.196,0.721,0.894,1.318,0.444,0.444,0.894
"1928",4.4,4.4,4.4,3.681,2.99,4.4,3.008,3.008,3.158,3.681,3.008,3.204,2.99,2.99,3.008
"1929",0.689,0.689,0.689,0.49,0.211,0.689,0.697,0.697,-0.047,0.49,0.697,0.986,0.211,0.211,0.697
"1930",0.187,0.187,0.187,0.245,0.379,0.187,0.094,0.094,0.387,0.245,0.094,-0.017,0.379,0.379,0.094
"1931",0.495,0.495,0.495,0.498,0.704,0.495,0.087,0.087,1.051,0.498,0.087,-0.196,0.704,0.704,0.087
"1932",-1.501,-1.501,-1.501,-1.045,-0.725,-1.501,-0.699,-0.699,-1.073,-1.045,-0.699,-0.228,-0.725,-0.725,-0.699
"1933",-0.545,-0.545,-0.545,-0.26,0.049,-0.545,-0.42,-0.42,0.01,-0.26,-0.42,-0.698,0.049,0.049,-0.42
"1934",-4.24,-4.24,-4.24,-3.573,-3.191,-4.24,-2.817,-2.817,-3.651,-3.573,-2.817,-3.593,-3.191,-3.191,-2.817
"1935",-1.777,-1.777,-1.777,-1.19,-0.727,-1.777,-1.184,-1.184,-0.98,-1.19,-1.184,-1.579,-0.727,-0.727,-1.184
"1936",-2.696,-2.696,-2.696,-2.201,-1.903,-2.696,-1.709,-1.709,-2.276,-2.201,-1.709,-2.188,-1.903,-1.903,-1.709
"1937",0.585,0.585,0.585,0.834,1.043,0.585,0.472,0.472,0.816,0.834,0.472,0.655,1.043,1.043,0.472
"1938",2.745,2.745,2.745,2.617,2.436,2.745,1.798,1.798,2.439,2.617,1.798,1.812,2.436,2.436,1.798
"1939",-2.222,-2.222,-2.222,-1.734,-1.474,-2.222,-1.305,-1.305,-1.671,-1.734,-1.305,-1.517,-1.474,-1.474,-1.305
"1940",-4.081,-4.081,-4.081,-3.206,-2.542,-4.081,-2.475,-2.475,-2.725,-3.206,-2.475,-2.263,-2.542,-2.542,-2.475
"1941",2.011,2.011,2.011,2.373,2.766,2.011,1.162,1.162,3.221,2.373,1.162,1.498,2.766,2.766,1.162
"1942",4.288,4.288,4.288,4.067,4.05,4.288,2.404,2.404,5.018,4.067,2.404,2.498,4.05,4.05,2.404
"1943",2.492,2.492,2.492,1.958,1.608,2.492,1.534,1.534,2.201,1.958,1.534,1.643,1.608,1.608,1.534
"1944",0.54,0.54,0.54,0.726,1.071,0.54,0.1,0.1,1.684,0.726,0.1,0.047,1.071,1.071,0.1
"1945",2.163,2.163,2.163,1.637,1.309,2.163,1.223,1.223,1.763,1.637,1.223,1.358,1.309,1.309,1.223
"1946",-2.029,-2.029,-2.029,-2.072,-2.138,-2.029,-1.324,-1.324,-2.066,-2.072,-1.324,-1.319,-2.138,-2.138,-1.324
"1947",4.507,4.507,4.507,3.865,3.497,4.507,2.727,2.727,4.13,3.865,2.727,2.758,3.497,3.497,2.727
"1948",1.88,1.88,1.88,2.028,2.301,1.88,0.886,0.886,2.895,2.028,0.886,0.514,2.301,2.301,0.886
"1949",4.011,4.011,4.011,3.765,3.622,4.011,2.498,2.498,3.983,3.765,2.498,2.561,3.622,3.622,2.498
"1950",-0.891,-0.891,-0.891,-1.243,-1.76,-0.891,-0.329,-0.329,-2.164,-1.243,-0.329,-0.117,-1.76,-1.76,-0.329
"1951",-0.272,-0.272,-0.272,-1.049,-1.83,-0.272,0.048,0.048,-2.124,-1.049,0.048,0.138,-1.83,-1.83,0.048
"1952",1.628,1.628,1.628,1.067,0.491,1.628,1.249,1.249,0.249,1.067,1.249,1.414,0.491,0.491,1.249
"1953",0.081,0.081,0.081,-0.215,-0.478,0.081,0.18,0.18,-0.894,-0.215,0.18,-0.06,-0.478,-0.478,0.18
"1954",-7.516,-7.516,-7.516,-6.303,-5.323,-7.516,-4.756,-4.756,-5.988,-6.303,-4.756,-5.069,-5.323,-5.323,-4.756
"1955",-2.598,-2.598,-2.598,-1.948,-1.524,-2.598,-1.789,-1.789,-1.688,-1.948,-1.789,-2.429,-1.524,-1.524,-1.789
"1956",-3.475,-3.475,-3.475,-3.382,-3.458,-3.475,-2.14,-2.14,-3.939,-3.382,-2.14,-2.43,-3.458,-3.458,-2.14
"1957",2.143,2.143,2.143,1.868,1.65,2.143,1.386,1.386,1.834,1.868,1.386,1.498,1.65,1.65,1.386
"1958",2.818,2.818,2.818,2.492,2.287,2.818,1.534,1.534,2.795,2.492,1.534,1.162,2.287,2.287,1.534
"1959",-1.275,-1.275,-1.275,-1.264,-1.202,-1.275,-0.921,-0.921,-1.102,-1.264,-0.921,-1.498,-1.202,-1.202,-0.921
"1960",-0.12,-0.12,-0.12,0.18,0.485,-0.12,-0.367,-0.367,0.853,0.18,-0.367,-0.895,0.485,0.485,-0.367
"1961",0.157,0.157,0.157,0.08,0.144,0.157,-0.293,-0.293,0.646,0.08,-0.293,-0.936,0.144,0.144,-0.293
"1962",2.026,2.026,2.026,1.244,0.495,2.026,1.419,1.419,0.51,1.244,1.419,1.556,0.495,0.495,1.419
"1963",-3.961,-3.961,-3.961,-4.06,-4.338,-3.961,-1.881,-1.881,-5.408,-4.06,-1.881,-1.47,-4.338,-4.338,-1.881
"1964",-3.665,-3.665,-3.665,-3.023,-2.56,-3.665,-2.304,-2.304,-2.789,-3.023,-2.304,-2.376,-2.56,-2.56,-2.304
"1965",3.005,3.005,3.005,2.918,2.837,3.005,1.908,1.908,2.954,2.918,1.908,1.984,2.837,2.837,1.908
"1966",-2.7,-2.7,-2.7,-1.906,-1.298,-2.7,-1.591,-1.591,-1.644,-1.906,-1.591,-1.367,-1.298,-1.298,-1.591
"1967",0.766,0.766,0.766,0.491,0.304,0.766,0.406,0.406,0.506,0.491,0.406,0.749,0.304,0.304,0.406
"1968",-0.747,-0.747,-0.747,-0.843,-0.754,-0.747,-0.505,-0.505,-0.904,-0.843,-0.505,-0.088,-0.754,-0.754,-0.505
"1969",2.465,2.465,2.465,2.544,2.603,2.465,1.662,1.662,2.775,2.544,1.662,2.116,2.603,2.603,1.662
"1970",2.869,2.869,2.869,2.666,2.64,2.869,1.668,1.668,2.966,2.666,1.668,1.696,2.64,2.64,1.668
"1971",0.948,0.948,0.948,0.466,0.134,0.948,0.393,0.393,0.308,0.466,0.393,0.348,0.134,0.134,0.393
"1972",-0.822,-0.822,-0.822,-1.129,-1.357,-0.822,-0.555,-0.555,-1.614,-1.129,-0.555,-0.279,-1.357,-1.357,-0.555
"1973",1.94,1.94,1.94,1.692,1.519,1.94,1.386,1.386,1.647,1.692,1.386,1.746,1.519,1.519,1.386
"1974",-0.668,-0.668,-0.668,-0.904,-1.263,-0.668,-0.089,-0.089,-1.571,-0.904,-0.089,0.457,-1.263,-1.263,-0.089
"1975",2.803,2.803,2.803,2.296,1.906,2.803,1.862,1.862,1.824,2.296,1.862,2.378,1.906,1.906,1.862
"1976",-1.066,-1.066,-1.066,-1.066,-1.13,-1.066,-0.515,-0.515,-1.545,-1.066,-0.515,-0.074,-1.13,-1.13,-0.515
"1977",-3.872,-3.872,-3.872,-3.468,-3.001,-3.872,-2.702,-2.702,-3.002,-3.468,-2.702,-3.32,-3.001,-3.001,-2.702
"1978",-1.904,-1.904,-1.904,-1.704,-1.552,-1.904,-1.117,-1.117,-1.76,-1.704,-1.117,-0.768,-1.552,-1.552,-1.117
"1979",1.538,1.538,1.538,1.753,1.747,1.538,0.842,0.842,2.145,1.753,0.842,0.607,1.747,1.747,0.842
"1980",0.652,0.652,0.652,0.779,0.91,0.652,-0.177,-0.177,2.012,0.779,-0.177,-0.282,0.91,0.91,-0.177
"1981",-1.763,-1.763,-1.763,-1.762,-1.634,-1.763,-1.193,-1.193,-1.299,-1.762,-1.193,-0.095,-1.634,-1.634,-1.193
"1982",0.151,0.151,0.151,0.553,1.081,0.151,0.305,0.305,1.189,0.553,0.305,1.24,1.081,1.081,0.305
"1983",5.742,5.742,5.742,4.954,4.312,5.742,3.618,3.618,4.624,4.954,3.618,4.136,4.312,4.312,3.618
"1984",4.397,4.397,4.397,3.677,2.849,4.397,3.213,3.213,2.959,3.677,3.213,4.357,2.849,2.849,3.213
"1985",0.483,0.483,0.483,1.266,1.809,0.483,0.404,0.404,2.292,1.266,0.404,0.735,1.809,1.809,0.404
"1986",-0.571,-0.571,-0.571,-0.435,-0.349,-0.571,0.192,0.192,-0.748,-0.435,0.192,1.571,-0.349,-0.349,0.192
"1987",0.508,0.508,0.508,1.138,1.654,0.508,-0.029,-0.029,2.348,1.138,-0.029,-0.31,1.654,1.654,-0.029
"1988",-0.354,-0.354,-0.354,0.022,0.364,-0.354,-0.652,-0.652,0.765,0.022,-0.652,-1.623,0.364,0.364,-0.652
"1989",-1.861,-1.861,-1.861,-1.197,-0.879,-1.861,-1.508,-1.508,-0.763,-1.197,-1.508,-2.256,-0.879,-0.879,-1.508
"1990",0.123,0.123,0.123,0.081,0.438,0.123,-0.401,-0.401,0.965,0.081,-0.401,-1.322,0.438,0.438,-0.401
"1991",1.014,1.014,1.014,0.832,0.916,1.014,0.961,0.961,0.688,0.832,0.961,1.454,0.916,0.916,0.961
"1992",1.321,1.321,1.321,1.073,1.152,1.321,0.748,0.748,1.741,1.073,0.748,0.801,1.152,1.152,0.748
"1993",0.709,0.709,0.709,0.126,0.022,0.709,0.439,0.439,0.42,0.126,0.439,1.012,0.022,0.022,0.439
"1994",-2.191,-2.191,-2.191,-1.35,-0.358,-2.191,-1.677,-1.677,-0.07,-1.35,-1.677,-2.474,-0.358,-0.358,-1.677
"1995",4.789,4.789,4.789,4.599,4.596,4.789,3.17,3.17,5.212,4.599,3.17,3.599,4.596,4.596,3.17
"1996",-0.161,-0.161,-0.161,-0.401,-0.49,-0.161,-0.148,-0.148,-0.081,-0.401,-0.148,0.114,-0.49,-0.49,-0.148
"1997",2.338,2.338,2.338,1.957,1.734,2.338,1.758,1.758,1.77,1.957,1.758,2.334,1.734,1.734,1.758
"1998",1.773,1.773,1.773,1.496,1.281,1.773,1.277,1.277,1.812,1.496,1.277,2.042,1.281,1.281,1.277
"1999",3.401,3.401,3.401,3.273,3.305,3.401,2.117,2.117,3.99,3.273,2.117,2.214,3.305,3.305,2.117
"2000",-2.586,-2.586,-2.586,-1.65,-0.994,-2.586,-1.554,-1.554,-0.831,-1.65,-1.554,-2.057,-0.994,-0.994,-1.554
"2001",-1.801,-1.801,-1.801,-0.946,-0.296,-1.801,-1.805,-1.805,0.538,-0.946,-1.805,-2.63,-0.296,-0.296,-1.805
"2002",-6.38,-6.38,-6.38,-5.526,-5.036,-6.38,-4.554,-4.554,-4.669,-5.526,-4.554,-5.188,-5.036,-5.036,-4.554
"2003",-0.82,-0.82,-0.82,-0.967,-1.227,-0.82,-0.526,-0.526,-0.954,-0.967,-0.526,-0.98,-1.227,-1.227,-0.526
"2004",-1.042,-1.042,-1.042,-0.328,0.115,-1.042,-0.48,-0.48,0.206,-0.328,-0.48,-0.827,0.115,0.115,-0.48
"2005",0.417,0.417,0.417,-0.046,-0.351,0.417,0.527,0.527,-0.297,-0.046,0.527,1.002,-0.351,-0.351,0.527
