SeriesCode,SiteName,Contributors,Lat,Lon,Elev
DRI,Deer Ridge,"Veblen, Thomas. T.; Kitzberger, Thomas; Donnegan, J.",40.37,-105.57,2580
DRIre,Deer Ridge Recollection,"Veblen, Thomas. T.",40.37,-105.57,2580
ELDOre,Eldorado Canyon Recollection,"Veblen, Thomas. T.",39.93,-105.27,1889
JEFFre,Jefferson County Colorado Recollection,"Veblen, Thomas. T.",39.68,-105.2,1965
VANBre,Van Bibber Creek Recollection,"Veblen, Thomas. T.",40.37,-105.25,1920
