Category,SeriesCode,SiteName,Contributors,Public,Update,Species,Lat,Lon,Elev,EarliestYr,LatestYr,Include
Climate,CO623,Sapinero Mesa,"Woodhouse, C.A.; Lukas, J.J.; Bolton, G.",ITRDB,NA,PIPO,38.32,-107.2,2700,1511,2000,Y
Climate,CO570,Sheep Pen Canyon,"Woodhouse, C.A.; Brown, P.M.",ITRDB,NA,PIPO,37.07,-103.27,1580,1460,1998,Y
Climate,CO627,Soap Creek,"Woodhouse, C.A.; Losleben, M.V.; Lukas, J.J.",ITRDB,NA,PIPO,38.53,-107.32,2417,1541,1999,Y
Climate,CO625,South Fork,"Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.",ITRDB,CO653,PIPO,37.67,-106.65,2591,1566,2002,N
Climate,CO653,South Fork Update,"Woodhouse, C.A.; Losleben, M.V.",ITRDB,NA,PIPO,37.67,-106.65,2591,1566,2008,N
Climate,CO559,Terrace Lake Pines,"Ryerson, D.E.; Swetnam, T.W.; Lynch, A.M.",ITRDB,NA,PIPO,37.38,-106.28,2658,1599,1997,Y
Climate,CO548,Turkey Creek Bluff,"Graybill, D.A.",ITRDB,C675,PIPO,38.6,-104.87,1938,1650,1988,N
Climate,CO675,Turkey Creek Update,"Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J.",ITRDB,NA,PIPO,38.6,-104.87,1938,1634,2003,N
Climate,CO550,Van Bibber Creek,"Graybill, D.A.",ITRDB,"CO641, VBIB08",PIPO,40.37,-105.25,1920,1690,1987,N
Climate,CO641,Van Bibber Update,"Woodhouse, C.A.; Lukas, J.J.",ITRDB,NA,PIPO,39.8,-105.25,1920,1566,2003,N
Climate,CO654,Vera Platt Bradbury,"Woodhouse, C.A.; Losleben, M.V.",ITRDB,NA,PIPO,37.47,-106.3,2835,1661,2008,Y
Climate,CO037,Waterdale,"Fritts, H.C.; Holmes, R.L.",ITRDB,NA,PIPO,40.42,-105.2,1707,1680,1964,N
Climate,CO560,Wilson Ranch,"Ryerson, D.E.; Swetnam, T.W.; Lynch, A.M.",ITRDB,NA,PIPO,37.63,-106.68,2560,1673,1997,Y
